rep,d,L
21,128,173.40064774965327
21,256,129.85568709455575
21,512,97.82388792583853
21,1024,73.85809326123781
22,2,672.3605245119471
22,4,599.891758460797
22,8,465.6561980290283
22,16,389.03724372968014
22,32,310.6286379901273
22,64,238.80529348720358
22,128,173.40064774965327
22,256,129.85568709455575
22,512,97.82388792583853
22,1024,73.85809326123781
23,2,672.3605245119471
23,4,599.891758460797
23,8,465.6561980290283
23,16,389.03724372968014
23,32,310.6286379901273
23,64,238.80529348720358
23,128,173.40064774965327
23,256,129.85568709455575
23,512,97.82388792583853
23,1024,73.85809326123781
24,2,672.3605245119471
24,4,599.891758460797
24,8,465.6561980290283
24,16,389.03724372968014
24,32,310.6286379901273
24,64,238.80529348720358
24,128,173.40064774965327
24,256,129.85568709455575
24,512,97.82388792583853
24,1024,73.85809326123781
25,2,672.3605245119471
25,4,599.891758460797
25,8,465.6561980290283
25,16,389.03724372968014
25,32,310.6286379901273
25,64,238.80529348720358
25,128,173.40064774965327
25,256,129.85568709455575
25,512,97.82388792583853
25,1024,73.85809326123781
26,2,672.3605245119471
26,4,599.891758460797
26,8,465.6561980290283
26,16,389.03724372968014
26,32,310.6286379901273
26,64,238.80529348720358
26,128,173.40064774965327
26,256,129.85568709455575
26,512,97.82388792583853
26,1024,73.85809326123781
27,2,672.3605245119471
27,4,599.891758460797
27,8,465.6561980290283
27,16,389.03724372968014
27,32,310.6286379901273
27,64,238.80529348720358
27,128,173.40064774965327
27,256,129.85568709455575
27,512,97.82388792583853
27,1024,73.85809326123781
28,2,672.3605245119471
28,4,599.891758460797
28,8,465.6561980290283
28,16,389.03724372968014
28,32,310.6286379901273
28,64,238.80529348720358
28,128,173.40064774965327
28,256,129.85568709455575
28,512,97.82388792583853
28,1024,73.85809326123781
29,2,672.3605245119471
29,4,599.891758460797
29,8,465.6561980290283
29,16,389.03724372968014
29,32,310.6286379901273
29,64,238.80529348720358
29,128,173.40064774965327
29,256,129.85568709455575
29,512,97.82388792583853
29,1024,73.85809326123781
30,2,672.3605245119471
30,4,599.891758460797
30,8,465.6561980290283
30,16,389.03724372968014
30,32,310.6286379901273
30,64,238.80529348720358
30,128,173.40064774965327
30,256,129.85568709455575
30,512,97.82388792583853
30,1024,73.85809326123781
31,2,672.3605245119471
31,4,599.891758460797
31,8,465.6561980290283
31,16,389.03724372968014
31,32,310.6286379901273
31,64,238.80529348720358
31,128,173.40064774965327
31,256,129.85568709455575
31,512,97.82388792583853
31,1024,73.85809326123781
32,2,672.3605245119471
32,4,599.891758460797
32,8,465.6561980290283
32,16,389.03724372968014
32,32,310.6286379901273
32,64,238.80529348720358
32,128,173.40064774965327
32,256,129.85568709455575
32,512,97.82388792583853
32,1024,73.85809326123781
33,2,672.3605245119471
33,4,599.891758460797
33,8,465.6561980290283
33,16,389.03724372968014
33,32,310.6286379901273
33,64,238.80529348720358
33,128,173.40064774965327
33,256,129.85568709455575
33,512,97.82388792583853
33,1024,73.85809326123781
34,2,672.3605245119471
34,4,599.891758460797
34,8,465.6561980290283
34,16,389.03724372968014
34,32,310.6286379901273
34,64,238.80529348720358
34,128,173.40064774965327
34,256,129.85568709455575
34,512,97.82388792583853
34,1024,73.85809326123781
35,2,672.3605245119471
35,4,599.891758460797
35,8,465.6561980290283
35,16,389.03724372968014
35,32,310.6286379901273
35,64,238.80529348720358
35,128,173.40064774965327
35,256,129.85568709455575
35,512,97.82388792583853
35,1024,73.85809326123781
36,2,672.3605245119471
36,4,599.891758460797
36,8,465.6561980290283
36,16,389.03724372968014
36,32,310.6286379901273
36,64,238.80529348720358
36,128,173.40064774965327
36,256,129.85568709455575
36,512,97.82388792583853
36,1024,73.85809326123781
